Δt (hr),p̄ws (psia)
0.0,2605.93
1.0,2605.93
2.0,2605.93
3.0,2605.93
4.0,2605.93
5.0,2605.93
6.0,2605.93
7.0,2605.93
8.0,2605.93
9.0,2605.93
10.0,2605.93
11.0,2605.93
12.0,2605.93
13.0,2605.93
14.0,2605.93
15.0,2605.93
16.0,2605.93
17.0,2605.93
18.0,2605.93
19.0,2605.93
20.0,2605.93
21.0,2605.93
22.0,2605.93
23.0,2605.93
24.0,2605.93
25.0,2605.93
26.0,2605.93
27.0,2605.93
28.0,2605.93
29.0,2605.93
30.0,2605.93
31.0,2605.93
32.0,2605.93
33.0,2605.93
34.0,2605.93
35.0,2605.93
36.0,2605.93
37.0,2605.93
38.0,2605.93
39.0,2605.93
40.0,2605.93
41.0,2605.93
42.0,2605.93
43.0,2605.93
44.0,2605.93
45.0,2605.93
46.0,2605.93
47.0,2605.93
48.0,2605.93
49.0,2605.93
50.0,2605.93
51.0,2605.93
52.0,2605.93
53.0,2605.93
54.0,2605.93
55.0,2605.93
56.0,2605.93
57.0,2605.93
58.0,2605.93
59.0,2605.93
60.0,2605.93
61.0,2605.93
62.0,2605.93
63.0,2605.93
64.0,2605.93
65.0,2605.93
66.0,2605.93
67.0,2605.93
68.0,2605.93
69.0,2605.93
70.0,2605.93
71.0,2605.93
72.0,2605.93
73.0,2605.93
74.0,2605.93
75.0,2605.93
76.0,2605.93
77.0,2605.93
78.0,2605.93
79.0,2605.93
80.0,2605.93
81.0,2605.93
82.0,2605.93
83.0,2605.93
84.0,2605.93
85.0,2605.93
86.0,2605.93
87.0,2605.93
88.0,2605.93
89.0,2605.93
90.0,2605.93
91.0,2605.93
92.0,2605.93
93.0,2605.93
94.0,2605.93
95.0,2605.93
96.0,2605.93
97.0,2605.93
98.0,2605.93
99.0,2605.93
100.0,2605.93
101.0,2605.93
102.0,2605.93
103.0,2605.93
104.0,2605.93
105.0,2605.93
106.0,2605.93
107.0,2605.93
108.0,2605.93
109.0,2605.93
110.0,2605.93
111.0,2605.93
112.0,2605.93
113.0,2605.93
114.0,2605.93
115.0,2605.93
116.0,2605.93
117.0,2605.93
118.0,2605.93
119.0,2605.93
120.0,2605.93
121.0,2605.93
122.0,2605.93
123.0,2605.93
124.0,2605.93
125.0,2605.93
126.0,2605.93
127.0,2605.93
128.0,2605.93
129.0,2605.93
130.0,2605.93
131.0,2605.93
132.0,2605.93
133.0,2605.93
134.0,2605.93
135.0,2605.93
136.0,2605.93
137.0,2605.93
138.0,2605.93
139.0,2605.93
140.0,2605.93
141.0,2605.93
142.0,2605.93
143.0,2605.93
144.0,2605.93
145.0,2605.93
146.0,2605.93
147.0,2605.93
148.0,2605.93
149.0,2605.93
150.0,2605.93
151.0,2605.93
152.0,2605.93
153.0,2605.93
154.0,2605.93
155.0,2605.93
156.0,2605.93
157.0,2605.93
158.0,2605.93
159.0,2605.93
160.0,2605.93
161.0,2605.93
162.0,2605.93
163.0,2605.93
164.0,2605.93
165.0,2605.93
166.0,2605.93
167.0,2605.93
168.0,2605.93
169.0,2605.93
170.0,2605.93
171.0,2605.93
172.0,2605.93
173.0,2605.93
174.0,2605.93
175.0,2605.93
176.0,2605.93
177.0,2605.93
178.0,2605.93
179.0,2605.93
180.0,2605.93
181.0,2605.93
182.0,2605.93
183.0,2605.93
184.0,2605.93
185.0,2605.93
186.0,2605.93
187.0,2605.93
188.0,2605.93
189.0,2605.93
190.0,2605.93
191.0,2605.93
192.0,2605.93
193.0,2605.93
194.0,2605.93
195.0,2605.93
196.0,2605.93
197.0,2605.93
198.0,2605.93
199.0,2605.93
200.0,2605.93
201.0,2605.93
202.0,2605.93
203.0,2605.93
204.0,2605.93
205.0,2605.93
206.0,2605.93
207.0,2605.93
208.0,2605.93
209.0,2605.93
210.0,2605.93
211.0,2605.93
212.0,2605.93
213.0,2605.93
214.0,2605.93
215.0,2605.93
216.0,2605.93
217.0,2605.93
218.0,2605.93
219.0,2605.93
220.0,2605.93
221.0,2605.93
222.0,2605.93
223.0,2605.93
224.0,2605.93
225.0,2605.93
226.0,2605.93
227.0,2605.93
228.0,2605.93
229.0,2605.93
230.0,2605.93
231.0,2605.93
232.0,2605.93
233.0,2605.93
234.0,2605.93
235.0,2605.93
236.0,2605.93
237.0,2605.93
238.0,2605.93
239.0,2605.93
240.0,2605.93
241.0,2605.93
242.0,2605.93
243.0,2605.93
244.0,2605.93
245.0,2605.93
246.0,2605.93
247.0,2605.93
248.0,2605.93
249.0,2605.93
250.0,2605.93
251.0,2605.93
252.0,2605.93
253.0,2605.93
254.0,2605.93
255.0,2605.93
256.0,2605.93
257.0,2605.93
258.0,2605.93
259.0,2605.93
260.0,2605.93
261.0,2605.93
262.0,2605.93
263.0,2605.93
264.0,2605.93
265.0,2605.93
266.0,2605.93
267.0,2605.93
268.0,2605.93
269.0,2605.93
270.0,2605.93
271.0,2605.93
272.0,2605.93
273.0,2605.93
274.0,2605.93
275.0,2605.93
276.0,2605.93
277.0,2605.93
278.0,2605.93
279.0,2605.93
280.0,2605.93
281.0,2605.93
282.0,2605.93
283.0,2605.93
284.0,2605.93
285.0,2605.93
286.0,2605.93
287.0,2605.93
288.0,2605.93
289.0,2605.93
290.0,2605.93
291.0,2605.93
292.0,2605.93
293.0,2605.93
294.0,2605.93
295.0,2605.93
296.0,2605.93
297.0,2605.93
298.0,2605.93
299.0,2605.93
300.0,2605.93
301.0,2605.93
302.0,2605.93
303.0,2605.93
304.0,2605.93
305.0,2605.93
306.0,2605.93
307.0,2605.93
308.0,2605.93
309.0,2605.93
310.0,2605.93
311.0,2605.93
312.0,2605.93
313.0,2605.93
314.0,2605.93
315.0,2605.93
316.0,2605.93
317.0,2605.93
318.0,2605.93
319.0,2605.93
320.0,2605.93
321.0,2605.93
322.0,2605.93
323.0,2605.93
324.0,2605.93
325.0,2605.93
326.0,2605.93
327.0,2605.93
328.0,2605.93
329.0,2605.93
330.0,2605.93
331.0,2605.93
332.0,2605.93
333.0,2605.93
334.0,2605.93
335.0,2605.93
336.0,2605.93
337.0,2605.93
338.0,2605.93
339.0,2605.93
340.0,2605.93
341.0,2605.93
342.0,2605.93
343.0,2605.93
344.0,2605.93
345.0,2605.93
346.0,2605.93
347.0,2605.93
348.0,2605.93
349.0,2605.93
350.0,2605.93
351.0,2605.93
352.0,2605.93
353.0,2605.93
354.0,2605.93
355.0,2605.93
356.0,2605.93
357.0,2605.93
358.0,2605.93
359.0,2605.93
360.0,2605.93
361.0,2605.93
362.0,2605.93
363.0,2605.93
364.0,2605.93
365.0,2605.93
366.0,2605.93
367.0,2605.93
368.0,2605.93
369.0,2605.93
370.0,2605.93
371.0,2605.93
372.0,2605.93
373.0,2605.93
374.0,2605.93
375.0,2605.93
376.0,2605.93
377.0,2605.93
378.0,2605.93
379.0,2605.93
380.0,2605.93
381.0,2605.93
382.0,2605.93
383.0,2605.93
384.0,2605.93
385.0,2605.93
386.0,2605.93
387.0,2605.93
388.0,2605.93
389.0,2605.93
390.0,2605.93
391.0,2605.93
